"","Estimate","Std. Error","z value","Pr(>|z|)"
"edges",-7.72503170722292,0.259204796947289,-29.8028115150734,3.59228766807634e-195
"isolates",-2.76185195030771,0.150192773862052,-18.3887139127239,1.61772052761924e-75
"gwesp.fixed.0.693147180559945",2.63619287683701,0.0828505027876168,31.8186708364916,3.57210066131304e-222
"gwdeg.fixed.0.693147180559945",1.7226836462471,0.487002983845575,3.53731640953015,0.000404215098286671
"nodecov.place.joined",0.00106721957235743,0.00260963458193065,0.408953644217838,0.682573680300286
"nodematch.place.joined",-0.0434164661165983,0.0888808399227695,-0.4884794760527,0.625210259709655
"nodematch.country.joined",0.559297399162391,0.0398304921865745,14.0419404445851,8.63164111755649e-45
"nodecov.educ",0.0226502902959922,0.00852067444149617,2.65827434805912,0.00785419274823808
"absdiff2.educ",-0.00110911253283947,0.00444700972524309,-0.249406365482784,0.803046461756202
"nodecov.age",0.0403470209857809,0.0219534730411603,1.83784228172621,0.0660856491917641
"absdiff2.age",-0.0329130463035755,0.00722902596116055,-4.55290193732983,5.29109403503403e-06
"nodecov.year.joined",0.0352632625572008,0.0198716671005235,1.77454978381113,0.0759722550276623
"absdiff2.year.joined",-0.185139951960436,0.0207577127125353,-8.91909212370167,4.70126185877525e-19
"nodecov.ses",-0.115020504572755,0.0149290618224043,-7.70446970754328,1.31387740314994e-14
"absdiff2.ses",-0.0931758054098307,0.0189078327640067,-4.92789451719724,8.31204684549125e-07
"dyadcov.clump.1.1.dyadcov",0.131638264856454,0.101869572963513,1.29222358577672,0.196279725970044
"dyadcov.clump.1.2.dyadcov",-0.039416482650024,0.0644243392531904,-0.611825951293277,0.540652917864627
"dyadcov.clump.1.3.dyadcov",-0.312435410629689,0.118007447133553,-2.64759062431115,0.00810676281254396
"dyadcov.clump.2.2.dyadcov",0.209244107286515,0.0378386930259726,5.52989785199211,3.20417311696774e-08
"dyadcov.clump.2.3.dyadcov",-0.354386998784406,0.0752731286474782,-4.70801473450218,2.50141024152364e-06
"dyadcov.clump.3.3.dyadcov",0.655796032078341,0.0716195134038562,9.15666696002756,5.35249513304342e-20
"dyadcov.school.1.1.dyadcov",-0.318203466277006,0.169175055479794,-1.88091243933425,0.0599838307958289
"dyadcov.school.1.2.dyadcov",-0.377228149810773,0.0868639765498371,-4.342745575254,1.40713057863166e-05
"dyadcov.school.2.2.dyadcov",-0.185115980122127,0.0622689908742907,-2.97284374651005,0.00295054615092171
"nodematch.plbirth",0.734902807895627,0.0419811224928303,17.5055540266018,1.29956403003414e-68
